'Description', 'image+AF8-id','scene+AF8-id','Object Type'
' Get the bottle that is in front of the keyboard', '101','1','bottle'
' Get the bottle that is in the middle of the other 2', '106','2','bottle'
' Gran the coffee mug that is on the right of the computer closest to the computer', '119','3','mug'
' Grab the book', '123','4','book'
' Get the bottle that is in the back right near the monitor', '27','5','bottle'
' Gran the coffee mug that is front right', '28','6','mug'
' Get the bottle that is in front of the keyboard on the left', '29','7','bottle'
' Get the coffee mug that is in front of the monitor', '37','8','mug'
' Get the coffee mug that is front right', '39','9','mug'
' Get the book', '40','10','book'
' get the book that is front left', '49','11','book'
' Get the bottle that is front of the keyboard on the right', '5','12','bottle'
' Get the book that is turned sideways on the left of the table', '51','13','book'
' Get the bottle that is back left near the monitor', '61','14','bottle'
' Get the book that is front of the keyboard to the left', '66','15','book'
' Get the coffee mug that the front left', '7','16','mug'
' Get the mug beside the bottle', '70','17','mug'
' Get the mug that is closest to the keyboard on left', '75','18','mug'
' Grab the book by the keyboard on the left closest to the keyboard', '89','19','book'
' Get the book on the far left', '90','20','book'
' Pick up the bottle closest to where a person in a chair would be sitting', '101','1','bottle'
' Pick up the 2nd bottle from the left', '106','2','bottle'
' Pick up the mug directly behind the laptop', '119','3','mug'
' Pick up the farthest bottle', '27','5','bottle'
' Pick up the 2nd mug from the left', '28','6','mug'
' Pick up the bottle just behind the mug', '29','7','bottle'
' Pick up the mug directly behind the keyboard', '37','8','mug'
' Pick up the mug to the left of the book', '39','9','mug'
' Pick up the black book', '40','10','book'
' Pick up the black book', '40','10','book'
' Pick up the middle of the 3 books', '49','11','book'
' Pick up the black book in front of the mug', '51','13','book'
' Pick up the bottle next to the monitor', '61','14','bottle'
' Pick up the book next to the keyboard', '66','15','book'
' Pick up the middle of the 3 mugs', '7','16','mug'
' Pick up the mug next to the bottle', '70','17','mug'
' Pick up the mug behind the black book', '75','18','mug'
' Pick up the book directly to the left of the monitor', '89','19','book'
' Pick up the 1st book on the left', '90','20','book'
' Pick up the bottle in front of the keyboard', '101','1','bottle'
' Pick up the water bottle between the two other ones', '106','2','bottle'
' Pick up the mug closest to the laptop', '119','3','mug'
' Pick up the book in front of the cup', '123','4','book'
' Pick up the bottle closest to the monitor', '27','5','bottle'
' Pick up the cup next to the book in front of the keyboard', '28','6','mug'
' Pick up the bottle of the left side of the desk', '29','7','bottle'
' Pick up the cup in front of the monitor', '37','8','mug'
' Pick up the cup next to the book', '39','9','mug'
' Pick up the book next to the cup', '40','10','book'
' Pick up the book to the left of the bottle', '49','11','book'
' Pick up the bottle on the right in front of the keyboard', '5','12','bottle'
' Pick up the book on the left side of the desk', '51','13','book'
' Pick up the bottle to the left in the corner of the desk', '61','14','bottle'
' Pick up the book next to the computer keyboard', '66','15','book'
' Pick up the mug to the left of the two in front', '7','16','mug'
' Pick up the cup right next to the water bottle', '70','17','mug'
' Pick up the cup to the left of the keyboard', '75','18','mug'
' Pick up the first book to the left of the keyboard', '89','19','book'
' Pick up the book on the left side of the desk', '90','20','book'
' 3rd bottle from the left', '101','1','bottle'
' 2nd bottle from left', '106','2','bottle'
' 2nd mug from right', '119','3','mug'
' pick up the book at the back', '123','4','book'
' pick up bottle in the back', '27','5','bottle'
' pick up coffee mug on the right', '28','6','mug'
' Pick up the object behind the mug towards the front of the desk', '29','7','bottle'
' cup in front of the monitor', '37','8','mug'
' pick up mug on the right', '39','9','mug'
' pick up the book', '40','10','book'
' pick up 2nd book from the left', '49','11','book'
' pick up 2nd bottle from the right', '5','12','bottle'
' Pick up the book to the left', '51','13','book'
' pick up the bottle on the left', '61','14','bottle'
' book to the left in front', '66','15','book'
' 1st up to the left in front', '7','16','mug'
' mug next to the bottle', '70','17','mug'
' pick up the 2nd mug from left', '75','18','mug'
' 2nd book from left', '89','19','book'
' 1st book on left', '90','20','book'
' Pick up the grey bottle that is in front of the computer', '101','1','bottle'
' Pick up the grey bottle that is in between two gray bottles', '106','2','bottle'
' Pick up the grey mug that is on the left side of the black book', '119','3','mug'
' Pick up the black book that is in front of the gray mug', '123','4','book'
' Pick up the gray mug that is in front of a gray bottle', '28','6','mug'
' Pick up the gray bottle by the gray mug', '29','7','bottle'
